participant_id	GoldMSI_Active_sum	GoldMSI_Training_sum
sub-010118	20.0	25.0
sub-010119	9.0	16.0
sub-010120	24.0	14.0
sub-010121	43.0	13.0
sub-010122	34.0	42.0
sub-010123	24.0	33.0
sub-010124	32.0	22.0
sub-010125	11.0	9.0
sub-010126	18.0	35.0
sub-010254	n/a	n/a
sub-010127	19.0	7.0
sub-010128	35.0	33.0
sub-010255	n/a	n/a
sub-010129	25.0	38.0
sub-010130	26.0	29.0
sub-010131	30.0	10.0
sub-010132	27.0	37.0
sub-010133	18.0	19.0
sub-010135	12.0	39.0
sub-010136	29.0	13.0
sub-010137	24.0	11.0
sub-010256	n/a	n/a
sub-010138	13.0	19.0
sub-010139	26.0	7.0
sub-010257	n/a	n/a
sub-010258	n/a	n/a
sub-010259	n/a	n/a
sub-010260	n/a	n/a
sub-010140	32.0	9.0
sub-010141	36.0	9.0
sub-010142	30.0	28.0
sub-010143	8.0	18.0
sub-010261	n/a	n/a
sub-010262	n/a	n/a
sub-010144	31.0	35.0
sub-010145	20.0	26.0
sub-010263	n/a	n/a
sub-010264	n/a	n/a
sub-010146	12.0	8.0
sub-010147	37.0	41.0
sub-010148	14.0	8.0
sub-010149	8.0	7.0
sub-010151	35.0	13.0
sub-010152	21.0	7.0
sub-010153	27.0	8.0
sub-010154	33.0	44.0
sub-010265	n/a	n/a
sub-010155	37.0	24.0
sub-010266	n/a	n/a
sub-010156	13.0	9.0
sub-010267	n/a	n/a
sub-010268	n/a	n/a
sub-010269	n/a	n/a
sub-010270	n/a	n/a
sub-010271	n/a	n/a
sub-010272	n/a	n/a
sub-010157	20.0	11.0
sub-010158	23.0	20.0
sub-010159	26.0	10.0
sub-010160	19.0	25.0
sub-010161	44.0	15.0
sub-010273	n/a	n/a
sub-010162	20.0	23.0
sub-010163	28.0	21.0
sub-010164	41.0	39.0
sub-010165	13.0	15.0
sub-010166	32.0	10.0
sub-010167	32.0	30.0
sub-010274	n/a	n/a
sub-010275	n/a	n/a
sub-010168	32.0	24.0
sub-010171	19.0	23.0
sub-010172	37.0	35.0
sub-010173	13.0	11.0
sub-010174	10.0	29.0
sub-010175	29.0	7.0
sub-010176	19.0	23.0
sub-010177	19.0	28.0
sub-010178	33.0	36.0
sub-010276	n/a	n/a
sub-010179	39.0	7.0
sub-010180	29.0	14.0
sub-010181	28.0	36.0
sub-010277	n/a	n/a
sub-010278	n/a	n/a
sub-010279	n/a	n/a
sub-010280	n/a	n/a
sub-010182	27.0	17.0
sub-010281	n/a	n/a
sub-010282	n/a	n/a
sub-010184	35.0	23.0
sub-010185	26.0	23.0
sub-010186	32.0	23.0
sub-010187	9.0	7.0
sub-010188	32.0	15.0
sub-010189	38.0	8.0
sub-010190	25.0	11.0
sub-010283	n/a	n/a
sub-010284	n/a	n/a
sub-010285	n/a	n/a
sub-010286	n/a	n/a
sub-010287	n/a	n/a
sub-010288	n/a	n/a
sub-010289	n/a	n/a
sub-010290	n/a	n/a
sub-010291	n/a	n/a
sub-010191	7.0	10.0
sub-010292	n/a	n/a
sub-010293	n/a	n/a
sub-010192	9.0	7.0
sub-010193	35.0	14.0
sub-010294	n/a	n/a
sub-010194	27.0	16.0
sub-010295	n/a	n/a
sub-010195	44.0	37.0
sub-010296	n/a	n/a
sub-010297	n/a	n/a
sub-010196	23.0	8.0
sub-010298	n/a	n/a
sub-010198	33.0	17.0
sub-010200	30.0	30.0
sub-010299	n/a	n/a
sub-010201	34.0	20.0
sub-010300	n/a	n/a
sub-010203	23.0	30.0
sub-010204	17.0	9.0
sub-010205	34.0	40.0
sub-010206	18.0	7.0
sub-010208	15.0	11.0
sub-010209	31.0	36.0
sub-010210	25.0	36.0
sub-010319	n/a	n/a
sub-010211	22.0	10.0
sub-010212	18.0	10.0
sub-010213	28.0	40.0
sub-010214	25.0	23.0
sub-010215	18.0	23.0
sub-010216	7.0	7.0
sub-010217	29.0	22.0
sub-010301	n/a	n/a
sub-010218	24.0	33.0
sub-010302	n/a	n/a
sub-010303	n/a	n/a
sub-010304	n/a	n/a
sub-010305	n/a	n/a
sub-010306	n/a	n/a
sub-010220	35.0	13.0
sub-010307	n/a	n/a
sub-010308	n/a	n/a
sub-010221	20.0	10.0
sub-010309	n/a	n/a
sub-010224	28.0	9.0
sub-010310	n/a	n/a
sub-010225	36.0	30.0
sub-010311	n/a	n/a
sub-010312	n/a	n/a
sub-010313	n/a	n/a
sub-010314	n/a	n/a
sub-010226	25.0	10.0
sub-010227	18.0	32.0
sub-010228	28.0	11.0
sub-010315	n/a	n/a
sub-010316	n/a	n/a
sub-010229	31.0	27.0
sub-010230	19.0	29.0
sub-010231	39.0	33.0
sub-010232	28.0	31.0
sub-010317	n/a	n/a
sub-010233	14.0	9.0
sub-010318	n/a	n/a
